epoch,accuracy,learning_rate,loss,top5,val_accuracy,val_loss,val_top5
0,0.06409900635480881,9.999999747378752e-05,5.948485851287842,0.17191796004772186,0.0009959277231246233,11.455537796020508,0.004957506898790598
1,0.17919062077999115,9.999999747378752e-05,5.271825313568115,0.34569263458251953,0.016266820952296257,10.409931182861328,0.02981143817305565
2,0.27566421031951904,9.999999747378752e-05,4.808993816375732,0.44094011187553406,0.017406603321433067,8.980668067932129,0.03191395103931427
3,0.3497360348701477,9.999999747378752e-05,4.337691783905029,0.5089263319969177,0.024433428421616554,8.801473617553711,0.044916342943906784
4,0.4139600098133087,9.999999747378752e-05,3.8757684230804443,0.5687476396560669,0.0333082489669323,7.434331893920898,0.07106497883796692
5,0.48855310678482056,9.999999747378752e-05,3.3170886039733887,0.6394457817077637,0.05012836307287216,6.678689956665039,0.1292271614074707
6,0.5516388416290283,9.999999747378752e-05,2.8362295627593994,0.698249876499176,0.07892174273729324,6.136905670166016,0.19784657657146454
7,0.6214485764503479,9.999999747378752e-05,2.3589131832122803,0.7596389651298523,0.11682232469320297,5.347971439361572,0.30427807569503784
8,0.6794092655181885,9.999999747378752e-05,1.9858251810073853,0.8080759048461914,0.187002032995224,4.490174770355225,0.4474703371524811
9,0.7321668267250061,9.999999747378752e-05,1.660701870918274,0.8500054478645325,0.2694205939769745,3.731417417526245,0.5911605954170227
10,0.7717067003250122,9.999999747378752e-05,1.4269144535064697,0.8816049695014954,0.36002787947654724,3.049661159515381,0.7159281969070435
11,0.8060727119445801,9.999999747378752e-05,1.2397948503494263,0.9067947268486023,0.4495064616203308,2.4753546714782715,0.8047317862510681
12,0.8365281224250793,9.999999747378752e-05,1.0794119834899902,0.9281792640686035,0.5510357618331909,1.992649793624878,0.8765602707862854
13,0.8610482215881348,9.999999747378752e-05,0.9545732736587524,0.9443724155426025,0.6266156435012817,1.6850751638412476,0.9189978837966919
14,0.8800703883171082,9.999999747378752e-05,0.8659930229187012,0.9561375379562378,0.6856409311294556,1.45004403591156,0.9386619329452515
15,0.8939577341079712,9.999999747378752e-05,0.8008485436439514,0.9639256596565247,0.7378275394439697,1.2233985662460327,0.9674331545829773
16,0.9090516567230225,9.999999747378752e-05,0.7318679690361023,0.9723853468894958,0.7898703217506409,1.0371263027191162,0.9779899716377258
17,0.9187335968017578,9.999999747378752e-05,0.6904537081718445,0.9770300984382629,0.8246503472328186,0.9128464460372925,0.9854152202606201
18,0.9274412989616394,9.999999747378752e-05,0.6518149971961975,0.9807376861572266,0.8375088572502136,0.8656913638114929,0.9876726269721985
19,0.9350224137306213,9.999999747378752e-05,0.6196594834327698,0.9842188358306885,0.8449119329452515,0.8453732132911682,0.9886574745178223
20,0.9386343359947205,9.999999747378752e-05,0.602530837059021,0.985462486743927,0.8678072094917297,0.7681525349617004,0.9926744103431702
21,0.9444563984870911,9.999999747378752e-05,0.5794305801391602,0.9876140356063843,0.863580048084259,0.7770153284072876,0.9923977255821228
22,0.9468578100204468,9.999999747378752e-05,0.570191502571106,0.9883559346199036,0.8951730728149414,0.6655389666557312,0.9970675706863403
23,0.9521819949150085,9.999999747378752e-05,0.5467915534973145,0.990337610244751,0.9027089476585388,0.6472387313842773,0.9978421330451965
24,0.9522327780723572,9.999999747378752e-05,0.5459014773368835,0.9900876879692078,0.9140403866767883,0.6062977910041809,0.9983954429626465
25,0.9546361565589905,9.999999747378752e-05,0.5373808145523071,0.9904996752738953,0.907721757888794,0.6215567588806152,0.9982405304908752
26,0.9560789465904236,9.999999747378752e-05,0.5310815572738647,0.9905582070350647,0.9222955107688904,0.5855175256729126,0.9990151524543762
27,0.9574671387672424,9.999999747378752e-05,0.5243354439735413,0.9907358884811401,0.9310596585273743,0.554972767829895,0.9994577765464783
28,0.9576740860939026,9.999999747378752e-05,0.5231845378875732,0.9904801249504089,0.9289681911468506,0.5559515953063965,0.9993802905082703
29,0.958611249923706,9.999999747378752e-05,0.5193625092506409,0.9908335208892822,0.9305395483970642,0.5550772547721863,0.9991589784622192
